Year,Month,100% Oeko,Sonnenmix,Basismix
2024,2,13.7062,13.9606,13.4518
2024,3,10.2056,10.4600,9.9512
2024,4,9.3038,9.5582,9.0494
2024,5,8.9277,9.1821,8.6733
2024,6,10.4700,10.7244,10.2156
2024,7,11.5224,11.7768,11.2680
2024,8,10.9021,11.1565,10.6477
2024,9,13.9757,14.2301,13.7213
2024,10,13.5597,13.8141,13.3053
2024,11,14.6447,14.8991,14.3903
2024,12,16.8749,17.1293,16.6205
2025,1,19.1737,19.4281,18.9193
2025,2,18.8383,19.0927,18.5839
2025,3,17.1406,17.3950,16.8862
2025,4,12.6746,12.9290,12.4202
2025,5,10.5053,10.7597,10.2509
2025,6,11.5884,11.8428,11.3340
2025,7,12.7533,13.0077,12.4989
2025,8,13.0535,13.3079,12.7991
2025,9,13.5111,13.7655,13.2567
2025,10,14.9608,15.2152,14.7064
2025,11,17.6781,17.9325,17.4237
2025,12,18.2905,18.5449,18.0361
2026,1,18.6637,18.6637,18.4069
2026,2,19.7765,19.7765,19.5197
2026,3,15.1411,15.1411,14.8843
2026,4,14.8495,14.8495,14.5927
2026,5,12.5928,12.5928,12.3360
2026,6,14.3712,14.3712,14.1144
2026,7,15.9316,16.1884,15.6748
2026,8,18.7289,18.9857,18.4721
